brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
1st playable productions,United States,"other prof, scientific & tech (isic 749)",www.1stplayable.com,game development studio,unknown,unknown,85.4,10.1,0.0,10.1,0.7,3.4,b-corp
3 phases renewables,United States,not in use,3phasesrenewables.com,comprehensive renewable energy solutions,"we provide our customers with up to 100% of renewable energy through recs, direct access services, and onsite distribution services.  most of our customers choose to purchase 100% renewable power from us.",to make renewable energy accessible and affordable.,104.9,41.3,unknown,17.5,2.9,5.5,b-corp
3degrees group inc.,United States,other/general wholesale trade,www.3degreesinc.com,"green power & community solar programs, recs, offsets, ppas, consulting","3degrees is an environmental commodity trading, sales, and advisory firm.",3degrees' mission is to mitigate the effects of climate change by accelerating the development of the low-carbon renewable energy economy.,101.2,37.9,unknown,12.0,1.8,3.9,b-corp
"3p partners, inc.",United States,not in use,pipsrewards.com,behavior tech platform,"3p partners, a woman-led certified b corporation, has brought to market an innovative engagement platform (pips rewards) that turns verified engagement in beneficial behaviors into high-value rewards, reinforcing the 'cycle of good.'","imagine boosting student retention, success and lifetime value - while deepening engagement in beneficial choices — all through an innovative mobile platform that mashes up smart tech, behavioral psychology and a ‘currency of good.' now you can with pips.",108.3,14.1,unknown,0.1,0.1,0.0,b-corp
3vectores,Uruguay,other info service activities,www.3vectores.com,sustainable branding,"somos un estudio de diseño de triple impacto. 

?ponemos el diseño y la tecnología al servicio de la divulgación, y generacion de competencias a los micro-emprendimientos. trabajamos con pequeñas empresas, clusters y ongs.","nuestros servicios deben dinamizar la economía local. diseñar con el propósito de evolucionar negocios y ciudades hacia la innovación y la sustentabilidad. nuestro diseño debe buscar el triple impacto: social, económico y ambiental y redefinir el éxito.",103.6,8.5,unknown,6.8,0.5,2.5,b-corp
3x5 partners,United States,other financial services,Unknown,venture capital,venture capital fund focused on innovation in life sciences and resource management,we invest in what the world needs,91.1,6.1,unknown,4.9,0.0,1.7,b-corp
4 pines brewing company,Australia,beverages,4pinesbeer.com.au,handcrafted beer brewed naturally,"an independently owned beer company embracing employee culture, customer experience, innovation, environmental and social responsibility and exceptional beer. 







to create, share and perpetuate australia’s leading independently owned beer company.","to create, share and perpetuate australia’s leading independently owned beer company. a lifelong journey with our family, friends and community; to restore the fun in peoples lives; and forever challenge what the world imagines business should be.",99.1,41.9,unknown,23.9,6.4,8.7,b-corp
4th bin inc.,United States,environmental consulting (isic 749),4thbin.com,electronic waste collection and recycling,"4th bin is the only company in new york city picking up electronic waste from local businesses and residents. our door-to-door ewaste recycling solution is convenient, simple and inexpensive.","the 4th bin is dedicated to educating businesses and consumers about the hazards of electronic waste and providing a simple and inexpensive means of rescue and disposal.  not only do we ethically and responsibly recycle or reuse all equipment we collect,",100.5,37.3,28.9,7.9,1.1,1.0,b-corp
4you2 idiomas,Brazil,other education (isic 854),www.4y2.org,language school,4you2 is a social business that provides transformative experiences of learning and culture to its stakeholders through the teaching of languages.,transform education through language learning and transcultural experiences that are accessible and of quality for the base of the pyramid in a global environment.,119.8,4.2,0.0,3.3,0.5,0.5,b-corp
5 degrees property group,Australia,real estate- fee/contract,5degrees.com.au,property broker,a property broker for finance and real estate professionals,unknown,88.7,17.3,unknown,3.7,1.1,2.6,b-corp
5 lakes energy,United States,environmental consulting,5lakesenergy.com,clean energy and sustainability consulting,"5 lakes energy is a michigan-based consulting firm dedicated to advancing policies and programs that promote clean energy, sustainability and the environment.","5 lakes energy works to advance clean energy technologies and policies, along with sustainability and energy efficiency programs in both the public and private sectors.",84.4,11.5,unknown,10.6,1.1,0.0,b-corp
"7group, llc",United States,environmental consulting,www.sevengroup.com,sustainability consulting,unknown,unknown,90.8,52.4,unknown,8.2,3.3,3.1,b-corp
18 feet & rising,United Kingdom,advertising & market research,www.18feet.com,advertising agency,unknown,unknown,82.6,8.4,unknown,8.4,0.7,0.5,b-corp
100km foods inc.,Canada,food products (isic 463),www.100kmfoods.com,local food,"100km foods inc. is a local food distribution company based in toronto, ontario, canada","our mission is to establish a viable, dynamic and sustainable local food economy whereby chefs have access to the freshest and best products that ontario has to offer, and ontario producers have a dedicated channel for the sales, marketing and distributio",110.3,10.5,unknown,5.9,0.8,0.4,b-corp
148,France,advertising & market research,148.fr,"advising, development, implementation, web, event planning and marketing buzz.",small independent business in advertising and branding communication strategy business.,"global creative agency we are a small company delivering consulting and implementation solution related to website creation, branding identity and communication strategy, we are creative people and technical expert.",80.3,7.5,unknown,6.7,1.1,2.0,b-corp
226strategic,Australia,other info service activities,www.226strategic.com.au,"brand strategy, design, website development and management, content curation",design and creative hub for liveability outcomes,226 provides design and content using digital and creative expertise to deliver good (liveability and sustainability) measurable outcomes.,88.9,17.4,0.0,16.3,5.0,6.3,b-corp
361 degrees strategic engagement services,Australia,management  consultant - for-profits,www.361degrees.com.au,"strategic engagement, project communications, change management","361 degrees strategic engagement services (previously stakeholder engagement services) is an innovative consulting company delivering strategic engagement, communications, change management and innovative thinking using systems methodologies.","people are at the core of our business philosophy and we believe in the power of ideas, creativity and the value of exploring future possibilities.",83.1,8.2,unknown,8.2,1.1,2.3,b-corp
850zip,United States,membership organizations,www.850zip.com,community & business memberships,"a hyper local loyalty program that rewards members for supporting their favorite phoenix businesses in the ""850"" zip codes and helps locally-owned businesses attract more customers.",850zip was born to create stronger neighborhoods and communities; by magnifying the importance every individual makes on the economic vitality and social infrastructure of society.,131.7,12.0,unknown,10.8,2.5,0.3,b-corp
1000friends & la casa de carlota,Spain,advertising & market research,www.1000friends.es,communications agency specialized in sustainability and social responsibility,"somos una empresa dedicada a la creación, desarrollo, implementación y comunicación de nuevas ideas y estrategias de responsabilidad social y sostenibilidad tanto para empresas y sus marcas como para entidades sin ánimo de lucro.","trabajar en la creación, el desarrollo, la comunicación y la gestión de proyectos de responsabilidad social para las empresas y sus marcas y para entidades del sin ánimo de lucro con el fin de mejorar la calidad de vida de las personas y su entorno.",91.9,5.6,unknown,5.6,1.1,1.3,b-corp
1001pact,France,investment advising,1001pact.com,conseil en investissement solidaire - social investment advising,"1001pact est une plateforme d'investissement participatif permettant aux particuliers d'investir au capital d'entreprises responsables à fort impact social, sociétal et/ou environnementale. et devenir ""social investor"" à partir de 100€.","notre mission est de permettre aux entreprises sociales de lever des fonds simplement et en ligne et de s'entourer d'une communauté d'actionnaires solidaires afin de pérenniser leur finalité sociale, sociétale ou environnementale.",111.2,4.4,0.0,4.4,0.0,0.0,b-corp
1908 brands,United States,other manufacturing,1908brands.com,1908 brands,"1908 brands, inc. was founded in 2010 by steve savage, the former founder and ceo of eco-products. as a rapidly growing manufacturer of natural products, 1908 brands - based in boulder, co -produces, manufactures, and manages seven natural product brands.","we are driven to create quality, trusted products that adapt with the ever- changing needs of our planet and people. we proudly disrupt markets that have poor environmental and health impacts to create safer, healthier products for you and the planet.",92.8,32.9,unknown,16.9,1.5,8.0,b-corp
.org/advisors,United States,management consultant - nonprofits,dotorgadvisors.com,management consulting and organizational development for non-profits and ngo's,"planning. systems. culture. only when all three of these components are aligned will an organization succeed. at .org/advisors, our goal is to help you define, design, and proceduralize pathways to achieving sustainable organizational evolution.",unknown,130.4,11.7,unknown,10.5,2.5,0.0,b-corp
a to z wineworks,United States,beverages (isic 11),www.atozwineworks.com,wine,"a to z remains true to the dual mission of offering aristocratic wines at democratic prices blending one cuvee each vintage of pinot noir, pinot gris and chardonnay that deliver the essence of oregon.",create the highest quality wine for the greatest sustainable value as we build a company that is a force for good.,136.7,45.2,unknown,20.9,3.0,7.6,b-corp
a&r solar,United States,other renew. energy install (isic 43),www.a-rsolar.com,solar energy system design & installation,"a&r solar is a team of smart, environmentally conscious specialists who design and install solar energy systems for homeowners, businesses, and government agencies.","our purpose is to build a great company, with great people, and great results by defining the golden rule.",114.5,36.9,unknown,8.5,0.8,2.9,b-corp
"abacus wealth partners, llc",United States,investment advising,www.abacuswealth.com/,national financial planning firm,"we help our clients make the best use of their financial resources, freeing their time to enjoy what matters most in life.",we expand what is possible with money.,133.0,6.9,unknown,6.9,1.1,1.3,b-corp
abhati,Switzerland,personal care products (isic 475),www.abhati.ch,holistic skincare & lifestyle brand,"abhati works with local communities across india to provide sanitation and so improve hygiene and consequently education. the funds from the company are used to fund the ngo's we've partnered with.

we donate to http://www.educategirls.in/index.php/who-w","we're in business of selling high-end products, & committed to creating pathways for people to have access to safe hygiene around the world.",84.3,3.1,unknown,3.0,0.0,1.9,b-corp
above green llc,United States,consulting,www.abovegreen.com,"leed certification services for contractors, architects, owners, and developers.",unknown,we save busy building professionals from the stress of leed certification.,97.9,36.3,0.0,36.3,1.1,0.7,b-corp
abreu advogados,Portugal,other personal services,www.abreuadvogados.com,full service law firm,we advocate sustainability.,"our mission is to provide legal services that are guided by the values of excellece and of client satisfaction, together with responsible legal practice and high ethical standards.",80.5,12.3,0.0,12.3,2.0,2.8,b-corp
abury collection,Germany,leather & related products,www.abury.net,production and sales of handmade fashion and interior accessories,"abury brings together international designers and traditional artisans - the handmade collections from the cooperation are sold online and offline. and abury is a marketplace for other brands who follow the abury pillars - design, handmade, social impact.","abury's mission is to preserve world crafts, support the people to make a fair living with their traditional skills and promote education through re-investing 50% of the profits in education projects in the communities we work with.",114.6,14.8,unknown,14.8,1.7,5.1,b-corp
accertaclaim servicorp inc.,Canada,health insurance,www.accerta.ca,claims benefit management,our focus and expertise is the management of government sponsored benefit plans.  we manage government sponsored benefit plans for provincial and municipal governments as well as children's aid societies.  these government sponsored benefit plans reflect,"we collaborate with plan sponsors and providers to promote access, promote use, and improve outcomes for participants.",93.0,6.8,unknown,6.0,0.7,1.5,b-corp
accès personnel sa,Switzerland,employment placement & hr,www.acces-personnel.ch,délégation de personnel temporaire et fixe,société de placement de personnel active sur l'arc lémanique et une partie du jura,"proposer des conseils et des services dans le domaine du recrutement de personnel, et apportons quotidiennement des solutions personnalisées avec enthousiasme, réactivité et persévérance. nous encourageons nos collaborateurs à se développer.",82.1,4.3,unknown,4.3,0.7,0.2,b-corp
acción verde sas,Colombia,growing non-perennial crops (isic 011),www.accionverde.org.co/,ecological restoration,accion verde is a colombian enterprise that produces positive social and environmental impacts by planting trees in strategic places throughout colombia.,to generate ecological restoration in strategic places throughout colombia to prevent natural disasters while mitigating climate change.,119.6,63.1,unknown,11.2,1.4,2.4,b-corp
accompany,United States,apparel,accompanyus.com,"socially conscious apparel, accessories and home goods","we've scoured the globe to build a worldwide community of artisans and partners, in order to bring you the best and most beautiful -- while also maximizing our impact.","first and foremost, our mission is to help human beings—to change the lives of individuals, families and communities, for good. because to us, change doesn’t mean a quick fix or temporary solution.",87.8,9.2,unknown,5.9,0.0,1.1,b-corp
actimpact sl,Spain,other personal services,www.actimpact.com,"consulting, coaching, speaking, publishing","we support leadership teams on their journey to create teal/future-proof organizations, where healthy results, engaged employees, and the sustainable use of natural resources are integrated.",to actively support the growth of organizations that would be approved by the future.,81.7,14.0,unknown,12.6,4.2,5.7,b-corp
actitudlab,Chile,educational support,www.actitudlab.com,"experiences, classes, lectures, trainings, seminars, and consulting","actitudlab is a social enterprise that aims to contribute to the integral development of people for them to have more tools to find happiness, understanding this with a path part in the initial and secondary education.","create and implement training programs for active learning subjects develop attitudes, skills and values ??that enable them to be happier and a meaningful life.",101.7,10.4,unknown,8.1,2.0,3.2,b-corp
active health group,Netherlands,other human health,www.activehealthgroup.nl,occupational health services and preventive medical care,unknown,"to promote self-management in order to optimise individual health, happiness and sustainable employability",87.5,7.1,unknown,6.7,1.0,2.2,b-corp
actua360,Chile,environmental consulting (isic 749),www.actua360.cl,sustainability consultancy,empresa consultora de sustentabilidad,"actua360 asesora de manera técnica, leal y transparente a sus clientes en la generación de valor económico, social y ambiental, para lograr que su negocio sea lo más sustentable posible.",80.2,10.7,unknown,9.5,2.5,2.6,b-corp
ad victoriam solutions,United States,computer programming services,www.advictoriamsolutions.com,"salesforce implementations, integrations, management and data services.","we're an innovative consulting team of problem solvers, taking on clients' salesforce tech and data challenges. we customize our approach to suit clients' business processes for increased efficiency, productivity and sustainability.","to engage, equip and empower our clients, employees, and community through diligent stewardship of our products, talent and time.",85.8,9.5,unknown,9.1,0.7,2.6,b-corp
"adam shay cpa, pllc",United States,accounting & auditing (isic 692),www.adamshaycpa.com,public accounting virtual cfo,we provide tax planning and preparation services to both businesses and individuals.  we also help businesses bridge the gap between accounting data and strategic decisions via our virtual cfo services..,"we believe in commitment - to our clients, to the community, to the environment, and to our families.we believe that public accounting firms should not be stressful environments that treat employees as a cog in the machine. we empower people to do good.",80.7,5.3,unknown,5.3,1.1,0.7,b-corp
adams green consulting limited,Canada,accounting & auditing,www.adamsgreen.ca,accounting & management services,"we are changing the way accounting and consulting services are delivered to small businesses and non-profits.  we embed ourselves in the operation of the organization and become a ""core part of your team"".",our mission is to improve the state of our regional economy by helping small businesses and non-profits to thrive.  we do so by providing a level and continuity of accounting and management expertise that is not normally available to them.,91.4,4.2,unknown,3.8,1.1,0.0,b-corp
adapt by design,Australia,other personal services,www.adaptbydesign.com.au,"the method, guidance and technology to embed change in your business","we look at the practice of consciously designing, building and sustaining an entire organisation for the long term. we believe integrating healthy culture with systems thinking and continuous succession enables organisations to sustain and flourish.","to help entrepreneurs and leaders build sustainable organisations based on adaptive business principles, aiming for fairness to all stakeholders.",80.0,7.4,unknown,6.6,1.9,1.7,b-corp
adara advisors,Australia,other financial services,www.adaragroup.org,financial services,"adara advisors pty. limited (adara advisors) is a niche financial service provider to global private equity and hedge fund managers, raising capital from wholesale clients (mainly superannuation funds and other institutional bodies) and high-net-worth ind",our visions is that every person in humla nepal and nakaseke uganda will have good quality healthcare and education. adara will be a global leader and model for evidence-based service delivery and a leading voice for business/ nfp partnerships,90.1,5.9,0.0,5.9,1.1,0.7,b-corp
adara partners (australia) pty limited,Australia,other/general wholesale trade,www.adarapartners.org,financial services,"adara partners is a corporate advisory firm, providing independent financial and strategic advice to leading australian companies, governments. 100% of profits generated on assignments go to help women and children living in extreme poverty.","our purpose is to deliver financial services expertise at the highest levels to our clients, with fees generated on transactions going to directly benefit people living in extreme poverty.",91.7,6.2,unknown,5.5,1.1,0.5,b-corp
adopt & embrace,Australia,other info service activities,adoptandembrace.com,"workforce analysis, organisational change management, training, and coaching","at adopt & embrace we work with organisations across australia & new zealand to help build more inclusive, modern workplaces leveraging technology.  improving digital literacy, empowering workplace flexibility & improving customer experience",unknown,91.3,12.1,unknown,11.4,2.5,2.9,b-corp
advance humanity,United States,mgmt consultant- nonprofits (isic 702),advancehumanity.com,humanitarian consulting,advance humanity is dedicated to empowering everyday humanitarians worldwide. we help people change themselves and change the world by doing more of what they love everyday.,empowering everyday humanitarians worldwide,107.3,13.2,unknown,13.2,2.5,2.7,b-corp
advanced enviro systems,United States,remediation & other waste management,www.advancedenvirosystems.com,"equipment sales/service, and consulting",waste reduction and recycling,"advanced enviro systems exists to reduce all forms of organizational waste, using innovation, logistics, and technology to provide the highest level of service and value to benefit the environment and its stakeholders",130.8,51.7,unknown,21.9,5.9,6.4,b-corp
adventure junky,Australia,other recreation,www.adventurejunky.com,adventure junky helps you share your latest - and find your next adventure.,"adventure junky? makes a game of sustainable travel? practices, awarding points for low? impact experiences and showcasing? destinations and travel operators that offer them. friends can play against one another or compete globally for bragging rights.",to save the world from the negative effects of mass tourism.,85.2,26.3,unknown,11.4,1.1,0.8,b-corp
ae works,United States,architecture design & planning,www.ae-works.com,"architecture design, interior design, engineering","ae works is a place where people can make a difference by engaging with one another, local communities and their craft – architecture and engineering.  ",creating a world where everyone is relevant,84.6,21.0,unknown,12.2,0.7,2.5,b-corp
aero studiodesign,Argentina,other personal services,www.aerostudiodesign.com,sustainable design solutions,empresa,"brindar soluciones innovadoras de diseño sustentable creando valor ambiental, social y económico al mismo tiempo.",81.2,26.4,unknown,8.3,2.7,2.2,b-corp
aerofarms,United States,mixed farming,www.aerofarms.com,leafy green vegetables,environmentally friendly large scale indoor vertical farm,"we are fundamentally transforming agriculture by building and operating technologically-advanced, environmentally responsible farms throughout the world enabling local production at scale to nourish our communities with safe, nutritious, and delicious foo",89.2,12.9,unknown,12.4,1.0,5.8,b-corp
afc health limited,Bangladesh,hospital,www.afchealth.net,"hospitals, pharmacy, emergency care",afc health ltd. aims to bring world class healthcare service facilities to the people of bangladesh. our vision to provide the people with international standard treatment facilities event the most remote regions of the country.,"to provide affordable, cutting edge healthcare services and to improve lifestyle of the communities we serve. we care for the environment and committed towards its safety.",84.7,9.4,0.0,9.4,4.8,0.8,b-corp
"affect conf, llc",United States,"other professional, scientific & tech",affectconf.com,community conference,"affect is an annual 2-day conference focused on the work, design, and culture of social change.",affect’s mission is to educate and inspire at the intersection of social change and systemic design by bringing people together and giving underrepresented voices a platform for their stories and experiences.,108.5,13.2,unknown,12.6,2.5,2.1,b-corp
african bronze honey company inc,Canada,food products,www.africanbronzehoney.com,honey & related products,"we import honey from 6000 independent beekeepers from the headwaters of the zambezi river and sell it to schools, not for profits and clubs who use it to fund raise for their projects. we then re-invest a portion of our profits back into beekeeping.",to be a bridge for least developed areas of africa to produce world class products and market them to developed economies and create profit for the stakeholders.,100.4,26.5,unknown,6.5,1.5,1.5,b-corp
african clean energy,Netherlands,solar power generation,www.africancleanenergy.com,ace manufactures and distributes the ace 1 solar biomass energy system.,"african clean energy (ace) is an international energy company currently operating in the netherlands, lesotho, uganda and cambodia. we manufacture our products in lesotho and sell them directly to our customers through inclusive financing models.",our mission is to enable clean cooking and sustainable energy for all.,148.9,21.1,unknown,10.0,2.8,3.7,b-corp
agency,Australia,"other professional, scientific & tech",agency.sc,full service not for profit creative agency for social change.,unknown,unknown,90.3,7.6,unknown,7.6,0.7,2.9,b-corp
agents of change partners,Canada,"other professional, scientific & tech",www.agentsofchangepartners.com,unknown,"agents of change partners catalyzes a three-way exchange of benefit between real estate agents, their clients, and the clients' favoured not-for-profit. agents receive referrals, clients receive customized, data-driven matches, and nfps receive donations.","to strengthen civil society by fostering independence, sustainability and resiliency within non-profit organizations. to ensure a positive real estate experience for every client by custom-matching each with an extraordinary agent.",102.5,0.0,unknown,0.0,0.0,0.0,b-corp
aggelos,France,other info service activities,www.aggelos.fr,"global communication, creative marketing, branding, advertising, and web design","aggelos est une agence de communication globale capable d’appréhender l’ensemble de la communication de nos clients, et d’en garantir la cohérence.","nous envisageons notre rôle auprès de nos clients comme un apport de compétences en matière de communication, tant sur le plan stratégique qu’opérationnel, privilégiant l'écoute et à la co-construction.",82.8,6.3,unknown,6.3,0.7,1.0,b-corp
aglh/ estancia las quinas,Argentina,agricultural processing,www.aglh.com.ar,unknown,"estancia las quinas nace en octubre de 2003 en general las heras, un pequeño pueblo del interior a unos 150 kms de la ciudad de buenos aires, como elaboradora  de productos orgánicos certificados, libres de gluten y muchos de ellos sin azúcar.","ofrecer a nuestros clientes consumidores , solo productos alimenticios 100 % naturales de máxima calidad y pureza. cuidando el entorno que nos rodea de manera de preservar su estado para el respeto de la tierra, aire y agua.",96.2,41.3,unknown,28.3,9.7,9.7,b-corp
agova,Zambia,management  consultant - for-profits,bdsafrica.com,we offer embedded consultancy services for the private sector for shared value,"a consultancy service that delivers management and technical advice to actors in the business sector in zambia to further the expansion of business models and norms that increase economic, social and environmental prosperity.",to make shared value the new way of doing business.,119.4,3.7,unknown,3.3,1.5,1.2,b-corp
aguagente s.a.p.i. de c.v.,Mexico,other personal services,aguagente.com,unlimited* purified water directly to households,"with aguagente you can obtain unlimited* purified water in your home for a small monthly cost, in a simple, effective and unique way.",to provide unlimited purified water to everyone in mexico,86.7,25.3,unknown,22.5,8.7,3.5,b-corp
aguas danone argentina,Argentina,beverages,corporate.danone.com.ar/ar/descubri/nuestros-negocios/aguas,water & beverages production.,aguas danone argentina is a subsidiary of group danone in argentina. it has two bottling plants and elaborates water and beverages.,to bring health through food to as many people as possible.,80.4,25.9,unknown,25.9,11.2,6.3,b-corp
aguas santa amalia s.a.,Chile,beverages,www.aspringwater.com,bottled spring water,unknown,"somos una familia que busca poner a disposición de chile y el mundo agua pura en su estado natural que proviene de la fuente, ubicada en la comuna de cunco, ix región de chile,  conservando el estado nativo del lugar y la armonía con la comunidad local.",97.1,13.2,unknown,13.2,4.2,3.9,b-corp
aguialabs,France,management  consultant - for-profits,www.aguialabs.com,design of innovative business ventures and alternative finance for social impact,aguialabs is an international cooperative network of independent change makers who connect to design and build alternative business models that generate positive and sustainable social impact,our mission is to create business models that are relevant to the future by bringing together businesses and the community,93.2,1.5,unknown,1.4,1.1,0.3,b-corp
air - agence innovation responsable,France,environmental consulting,www.air-agence.com,"sustainability consulting, innovation management, workshop moderation","air is a consultancy for responsible innovation. we help companies, territories to innovate in responsible manner.",we imagine a world where innovation is responsible toward man and the environment… a world where innovation helps companies and territories create value and take responsibility.,107.9,10.0,unknown,10.0,1.8,2.6,b-corp
aither pty ltd,Australia,management  consultant - for-profits,aither.com.au,economic and strategy consultants,unknown,unknown,85.9,10.5,unknown,10.5,0.7,2.8,b-corp
akamai,United States,personal care products,www.akamaibasics.com,"minimalist, natural, healthy unisex personal care and wellness products.","our mission is to help people break free from the mainstream personal care paradigm that promotes too many products, chemicals and complexity – at a high cost to our health, wallets and environment.  we believe less is more.","our mission is to promote health and well being while reducing waste and excess consumerism over the current paradigm of cost, complexity and chemicals in the personal care industry.",80.1,23.0,unknown,5.1,0.0,2.3,b-corp
alaska glacial mud co.,United States,personal care products,www.alaskaglacialmud.com,skin care,"alaska glacial mud co. sustainably hand-carves pure glacial mineral mud from the copper river delta on the southcentral coast of alaska and manufactures spa quality masques and soaps that detoxify, nourish, exfoliate and soften the skin.","in addition to being purveyors of the finest alaska glacial mineral mud products, alaska glacial mud co. celebrates the highly productive copper river ecosystem and believes in harmonizing commerce with potential for social impact.  we pledge 10% of our p",132.0,32.4,0.0,32.2,1.5,3.4,b-corp
alaya,Brazil,other personal services,www.alaya.com.br,"rafting, zipline, canopy...","outdoor activities for public, schools and companies","incentivar a cultura da vida ao ar livre e proporcionar um encontro inesquecível consigo e com a natureza numa experiência autêntica, para famílias, empresas e escolas, pessoas de todas as idades e todos os níveis.",81.1,9.0,unknown,8.6,1.5,0.3,b-corp
albina community bank,United States,deposit bank - developed markets,albinabank.com,"personal, small business and commercial banking deposit and loan services; idas.",albina is the only cdfi-certified commercial bank headquartered in oregon.  we promote community development and work in market niches that are often underserved by other financial institutions and provide financial and educational services locally.,albina community bank creates hope and financial opportunity by building lasting banking relationships with those who care the most about our communities.,111.7,2.4,unknown,1.7,0.0,0.5,b-corp
alcagüete,Colombia,food products,www.alcaguete.com,healthy snacks,"alcaguete (www.alcaguete.com ) is a company that believes that everything is better when shared which is why it designs products to promote sharing and wellbeing. in order to materialize this experience, the company produces healthy and delicious snacks t","at alcaguete, we believe that everything is better when you share with those around you; we produce and design products to promote a community of sharing that in turn creates wellbeing.",98.8,8.7,unknown,7.3,1.3,3.7,b-corp
alessi s.p.a.,Italy,other manufacturing,www.alessi.com,design housewares,"in almost a century of history, the company has gradually evolved to become one of the leading “factories of italian design”, capable of applying its expertise and excellence in design management to many different product types","alessi’s mission is now one of translating its quest for the most advanced cultural, aesthetic, design and functional quality into mass production.",82.3,22.7,unknown,22.4,7.5,7.8,b-corp
alexis advisors,United States,investment advising,www.alexisadvisors.com,financial services,"alexis advisors is a fee-only firm offering financial planning and investment advisory services. we work with families, individuals, and businesses to integrate their personal and social values with their financial goals.","we aim to change the way people interact with their money; our mission is to help individuals and families lead a purpose-driven life, offering planning and investment options that help them align their money with what they value most.",99.2,6.9,0.0,6.5,2.5,1.4,b-corp
alfa accountants en adviseurs,Netherlands,other business support,www.alfa.nl,"accounting services, auditing services, tax advisory, legal advisory","alfa accountants and consultants is a consultancy for small and medium-sized enterprises and the agricultural sector in the field of accountancy, tax, legal and business advice. alfa was originally established by the agricultural sector.","we have defined ten core values that form the basis of our daily actions and from which we develop ourselves, our culture, our brand and our business strategy",101.9,9.3,unknown,8.8,1.5,3.2,b-corp
algramo,Chile,general stores (isic 471),www.algramo.com,shopping consulting,algramo es un sistema de venta de productos a granel al detalle en envases reutilizables en almacenes de barrio.,nuestro objetivo es reducir los precios de compra de las familias de manera sustentable además de apoyar a los almaceneros de barrio para poder competir con las grandes cadenas de supermercados.,91.0,26.7,unknown,14.3,1.2,8.9,b-corp
align work health,Australia,"other professional, scientific & tech",www.alignworkhealth.com.au.,workplace health services,"workplace health and wellness, injury prevention, early intervention, claims management and job seeking programs.",help the local community businesses thrive through productivity and health gains,110.7,4.0,unknown,3.5,0.7,0.2,b-corp
"alima cosmetics, inc.",United States,personal care products,alimapure.com,cosmetics,"minimal ingredients for maximum impact. all our products are formulated with this in mind. we use only the highest quality, purest ingredients, never synthetic dyes. without compromise our products are never tested on animals.","alima cosmetics’ mission is:

	to create pure, beautiful, versatile products to delight the mind, body, and spirit. 

	to foster creativity and joyful self-expression.

	to serve our global community though environmental stewardship and social service.",83.5,32.0,0.0,31.1,3.7,9.3,b-corp
all across africa,United States,not in use,allacrossafrica.org,fair trade baskets and jewelry,"all across africa is a social business that partners with producer groups in africa and connects their production to markets in the us, making a variety of fair trade products available for customers.",all across africa is a social business dedicated to creating income generating opportunities for rural and marginalized across the continent of africa.,91.9,16.5,4.2,11.8,2.2,4.1,b-corp
all good by elemental herbs,United States,personal care products,www.allgoodproducts.com,organic herbal healing products,"elemental herbs is the result of a deep love for people and the planet, recognizing the essential connection between wilderness and wellness. each product incorporates organic herbs and ingredients that have been used as remedies for generations.","elemental herbs’ mission is to grow a company with environmental, social and economic vitality by offering organic healing products to customers around the world through wholesale accounts and internet retail sales",122.7,39.6,unknown,25.2,5.8,8.5,b-corp
all green recycling inc.,United States,"other professional, scientific & tech",www.all-green.com,"precious metal recovery,electronic recycling and enviormental technology process","precious metal recovery, environmental technology, and electronic recycling with zero footprint.  agr provided e-waste recycling and precious metal recovery.   with its own ip technology, it recovers precious metals such as gold, silver, platinum safely.",to provide sustainable solutions for the proper disposition and recovery of materials from e-waste.  we also train and employ individuals with barriers to employment in the e-waste industry.,110.9,41.5,unknown,15.7,3.2,4.6,b-corp
"allbirds, inc.",United States,apparel,www.allbirds.com,shoe retailer,allbirds is dedicated to making the most sustainable footwear they can - shoes people feel good in and good about - using the world’s best natural materials.,"allbirds is on a mission to prove that comfort, good design and sustainability don’t have to be mutually exclusive. their commitment to making better shoes in a better way is fueled by a desire to be a beacon in sustainable manufacturing.",81.9,17.1,unknown,17.1,0.8,7.1,b-corp
"allcare health, inc.",United States,other human health,www.allcarehealth.com,"medicaid, medicare, electronic health records, and medical office services","we are a physician-led organization leading the way to better healthcare for oregon and its people, with a range of plans designed to meet the state's diverse communities and their health needs.","working together to provide quality, cost-effective healthcare for our communities.",114.8,5.0,unknown,4.3,0.7,2.0,b-corp
allegro 234,Spain,management  consultant - for-profits,www.allegro234.net,crafted branding company,"with a clear focus on building timeless brands from the future, we help companies to build brands with conscience. realising the power of brands to shape culture and create value","our purpose is to shape compelling businesses. we create sustainable long-lasting value for our clients through developing and revitalising meaningful and familiar brand experiences, for each key audience, at every touch-point",81.9,11.6,0.0,11.6,1.1,3.2,b-corp
alliant international university,United States,higher education,www.alliant.edu,"university degrees, certifications and credentials",alliant is a professional practice university. our programs prepare students to enter professional careers— our approach to education combines theory and practice; scholarship and application.,"alliant international university prepares students for professional careers of service and leadership, and promotes the discovery and application of knowledge to improve the lives of people in diverse cultures and communities around the world.",83.4,8.1,unknown,7.4,0.6,4.2,b-corp
