brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
green drop garage,United States,repair: automotive,greendropgarage.com,auto repair and maintenance,we provide environmentally friendly auto maintenance and repair.,"to care about our people, our community and our planet.",83.1,22.2,10.9,9.8,0.7,4.2,b-corp
green element limited,United Kingdom,environmental consulting,www.greenelement.co.uk,"benchmarking, carbon footprinting, environmental management, energy procurement",green element is an environmental management consultancy that advises organisations on how to develop their relationship with their environment.,"green element strive to look and review life in an alternative and fresh way. we want to help our neighbours, reduce companies’ environmental impacts whilst also conducting business ethically and professionally.",96.5,33.5,unknown,5.3,2.6,2.7,b-corp
green energy options of keene,United States,other retail sale,www.GreenEnergyOptions.com,"solar and hearth - sales, installation and service",(sent to b corp team),"to support our community in the increased use of cleaner, more efficient and renewable sources of energy in order to move our region toward greater energy independence, sustainability and regenerative ways of living.",96.1,27.1,unknown,16.9,4.6,4.2,b-corp
green factory,Colombia,environmental consulting (isic 749),www.greenfactory.com.co,leed and enviromental consulting,unknown,unknown,100.5,38.9,27.8,10.0,4.0,0.8,b-corp
green glass,Chile,other manufacturing,www.greenglass.cl,drinking glasses,"green glass is all about saving glass bottles from trash and turning them into cool ecofriendly products, under fair trade standards.","bring bottles back from the garbage to the people, in form of a cool product. in order to stop producing waste, recycle as much as possible and giving work to people who are in need.",80.8,31.5,unknown,18.2,7.7,5.0,b-corp
green goo,United States,personal care products,greengoohelps.com,health & beauty and otc products,unknown,unknown,80.1,30.3,unknown,15.3,1.5,6.2,b-corp
green hammer,United States,design & building,greenhammer.com,design and construction,green hammer is a design-build firm creating healthy and inspiring homes and buildings. the company sees every building as an opportunity to improve occupants’ well being and the relationship between the built environment and the natural world.,we engage in a unified design-build process to create healthy and inspiring buildings designed for people and built for life.,126.2,55.4,unknown,18.1,1.5,3.6,b-corp
green house data,United States,data processing & hosting,www.greenhousedata.com,data center service provider,"across seven data centers spanning the country and our cheyenne, wyoming headquarters, green house data imbues our trademark data center services with exceptional support, while powering it all with renewable energy.","deliver high performance, custom technology infrastructure solutions to our customers from the most environmentally, operationally, and capitally efficient data centers in the country.",90.3,27.9,unknown,16.3,2.0,5.5,b-corp
green libros,Chile,books or other media (isic 4761),www.greenlibros.com,books,green libros collects books that would otherwise be sitting in disuse and then sells them online with a portion of the sales going to promote reading programs and access to materials.,"collect books with the goal of supporting educational initiatives that help shape teaching and access to our mission is to improve access to books and reading materials both through the direct donation of books, as well as by actively lowering the cost of",90.3,31.9,unknown,17.8,10.0,4.3,b-corp
green living enterprises,Canada,other info service activities (isic 639),www.GreenLivingEnterprises.ca,"marketing, communications & event services",unknown,unknown,106.8,23.6,unknown,7.5,1.1,2.8,b-corp
